row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
48,46,A,4564,14859,1253,21117,1911,15,3
49,33,B,7491,20600,1325,28118,1750,16,6
50,41,B,9032,17203,1288,31535,2476,17,7
51,32,B,6055,28369,1111,20670,1759,16,5
52,72,A,4787,25731,1034,21157,1678,18,4
53,48,C,2699,5243,800,29716,1895,15,1
54,39,B,7792,32600,1129,35130,1994,17,6
55,29,C,3335,7710,860,39963,1684,13,2
56,41,E,8386,70494,1882,36140,1106,15,8
57,37,C,3711,9936,735,22799,1722,17,2
58,36,B,6627,18932,1283,22227,1579,15,6
59,48,D,1544,3283,553,18266,1730,11,0
60,40,C,3411,932,925,19198,1669,15,2
61,37,C,2716,4450,835,38174,1740,13,1
62,29,B,7703,26413,1207,31543,1215,19,7
63,37,B,8206,20320,1250,36142,1560,19,7
64,22,E,7781,44587,1076,36157,2337,19,6
65,23,C,3606,7746,721,33387,2200,17,2
66,32,A,5009,32255,875,31550,1579,12,4
67,30,C,3228,3042,613,35663,1261,17,2
68,35,B,7421,21174,1182,38171,1260,18,7
69,25,E,6828,37291,1375,24949,1362,20,6
70,40,A,4679,17389,1434,16512,1470,20,4
71,37,A,4882,25884,1016,28027,1724,17,4
72,36,B,8226,23397,1098,24282,2339,16,6
73,49,E,7898,41675,2095,25151,1919,19,6
74,30,B,6224,14615,1089,16639,1822,19,5
75,36,B,7127,22540,1009,15831,1932,16,6
76,45,B,5998,14313,1277,37846,1744,20,5
77,41,D,2564,5320,437,27256,1165,11,2
78,54,B,9240,25715,1267,22667,2272,18,7
79,47,C,4386,11383,1005,22804,1173,11,4
80,52,D,2114,5339,453,40288,1619,10,1
81,35,C,3670,9669,645,24431,2111,11,2
82,44,D,2123,5521,462,37209,1903,12,1
83,45,D,2668,4481,456,24616,1253,15,2
84,45,C,3245,5830,769,15898,1780,13,2
85,27,C,3038,7680,737,24837,1365,16,2
86,30,B,6430,18028,1323,16228,1464,20,5
87,52,A,4891,27016,1120,35340,2488,16,3
88,34,D,1305,2242,575,23820,1780,10,0
89,43,C,3647,9841,729,23751,1991,16,2
90,34,A,4484,27386,913,22951,1798,13,3
91,35,D,3545,4689,522,17793,1549,13,2
92,22,E,8391,59399,2148,29997,1484,17,7
93,46,C,4172,15235,767,16798,1806,18,3
94,44,E,9809,86859,1639,38117,2004,19,8
95,49,C,3176,3797,781,38566,1562,13,2
96,30,C,3743,9703,859,41866,1193,10,3
97,30,C,3051,1808,572,36797,2207,17,1
98,43,B,6102,12671,1094,35817,1629,17,5
99,44,A,3872,23553,1041,31930,1571,19,3
100,34,C,3159,9852,570,28888,1791,15,2
101,44,C,3444,5268,828,40932,1936,14,2
102,29,B,7469,21904,1236,37135,2051,18,6
103,51,A,5463,14196,1284,36590,2028,14,4
104,36,C,2862,4739,822,21245,1586,15,2
105,34,D,2548,6009,441,18767,1427,13,2
106,41,B,7577,17607,1209,30174,2176,18,6
107,45,B,6939,20826,1274,31936,1614,22,6
108,35,A,4445,21290,1036,33777,1270,18,4
109,48,E,7501,41916,2040,27465,2113,19,6
110,39,D,1603,1980,473,29999,1794,11,0
111,30,E,8081,29583,2275,19658,2162,19,6
112,41,E,7211,78052,2205,15992,1856,18,6
113,17,E,7597,51138,1653,35262,1811,17,6
114,39,B,7806,22471,1353,16830,2048,19,6
115,24,D,2175,3730,570,21587,1347,14,1
116,36,C,3340,12521,620,26376,1961,14,2
117,31,B,6829,28996,1147,41148,2329,18,5
118,32,B,8502,792,975,32818,2163,17,7
119,58,D,2824,8174,516,41597,1407,12,2
120,28,E,8573,30958,1736,32399,1223,22,8
121,50,C,3656,533,759,37408,1490,12,3
122,35,B,7112,14385,1185,29611,2147,16,5
123,32,A,4770,9163,1335,29941,1571,16,4
124,46,D,3232,4106,613,32968,1308,13,2
125,41,A,4525,27462,1439,18179,1329,18,4
126,41,A,4796,16787,1233,40935,1611,15,4
127,37,D,2073,5319,535,40022,1403,17,1
128,57,E,7813,218,1604,37764,1650,16,7
129,48,E,7217,57028,2129,21682,2056,19,6
130,43,E,8386,37294,2108,19559,1818,21,7
131,53,A,6086,32188,474,34770,1116,14,5
132,42,B,6364,20744,1153,29740,1194,19,6
133,61,C,3537,9607,518,33746,1855,17,2
134,28,C,3381,6803,719,34181,1165,12,3
135,27,A,4542,33423,1140,35587,2031,14,3
136,27,E,8425,38317,1585,22365,1929,22,7
137,60,D,4001,9164,426,24379,1518,12,3
138,21,C,3820,11004,788,15763,1608,13,3
139,20,D,2012,4046,496,34748,1306,16,1
140,41,B,6782,20819,1171,41868,1600,20,6
141,64,A,4724,34786,898,31310,2092,17,3
142,36,E,8558,52852,2042,23970,1823,21,7
143,36,D,1830,4341,447,31371,1868,14,0
144,45,E,6859,53561,1501,32389,1731,15,6
145,34,D,2323,5397,522,41640,2195,15,1
146,32,E,6948,1584,1389,31368,1950,17,5
147,56,D,2993,8086,530,18429,1642,12,2
148,48,A,5046,13792,1036,16401,1163,19,4
149,34,E,9258,25918,1565,40801,1479,19,8
150,48,C,2518,3567,716,20941,1926,10,1
151,29,C,3556,11285,728,18069,1667,17,2
152,66,A,4770,22187,1310,37421,1221,19,4
153,59,B,6889,27192,1137,18447,1819,18,6
154,47,B,6801,14560,1303,37794,1745,19,6
155,40,E,8514,55685,1002,30761,1691,17,7
156,29,A,5223,26039,1401,18440,2602,14,3
157,63,A,3981,26810,750,32503,1573,17,3
158,43,B,7666,25379,1077,26775,1980,16,6
159,46,B,7011,9282,1367,22072,1860,16,6
160,41,D,2011,3553,415,36334,1279,15,1
161,33,B,6710,30479,1335,19267,2150,16,5
162,28,B,6741,15963,1244,35212,1437,19,6
163,24,E,9339,55741,1399,28660,1834,20,8
164,48,D,2181,5408,521,24658,1139,10,2
165,33,C,4133,2450,685,40961,1906,16,3
166,21,C,3259,12946,946,18676,1245,14,3
167,52,A,4789,25012,913,26001,1743,17,4
168,20,D,2600,6057,521,26262,1859,12,1
169,49,B,6199,28737,1273,16431,1936,16,5
170,53,B,6343,30748,1193,29923,1572,18,5
171,32,D,1870,3478,520,31659,1898,13,0
172,32,C,3703,11065,822,36069,1560,17,3
173,41,E,8105,25660,999,30127,1700,18,7
174,41,E,7554,62071,1851,39169,1561,17,6
175,65,E,8191,37139,1671,41631,2018,18,7
176,32,C,3804,400,693,16303,1813,18,2
177,26,B,8897,26304,1309,20011,1529,16,8
178,55,E,7908,57183,2098,17243,1470,21,7
179,40,A,5112,30590,1011,39986,1469,17,4
180,37,A,4878,21695,907,37845,1914,15,3
181,56,B,8834,27792,1183,37253,1593,16,8
182,46,E,7696,35616,1993,16347,1783,15,6
183,34,A,5053,29887,623,37653,2096,17,3
184,37,D,2732,4252,589,34464,1751,14,1
185,51,B,6362,20057,1241,25906,796,19,6
186,27,C,3184,4879,769,19496,1975,14,2
187,41,C,3308,14750,827,34327,1956,12,2
188,42,A,4802,26732,1110,18216,1806,19,3
189,39,A,4931,33184,938,36489,1281,14,4
190,42,C,3974,5259,607,40983,1403,14,3
191,40,A,4856,16060,1351,36200,1708,20,4
192,52,A,4915,23038,1057,28078,1463,17,4
193,49,B,7131,12510,1139,25699,1880,20,6
194,42,B,6541,15521,1175,32353,2040,17,5
195,37,C,3911,960,1044,38319,1794,18,3
196,33,A,4971,19702,1229,23963,2211,17,3
197,18,A,4609,29152,906,32577,1990,18,3
198,29,E,7708,49413,1897,16995,1171,18,7
199,22,C,3524,11140,799,38695,1527,14,2
200,17,B,7015,16736,1266,35790,1500,20,6
201,34,E,6641,27217,2257,39584,1413,21,6
202,32,A,4355,31472,1081,38031,2195,14,3
203,45,C,2403,4265,753,37096,2145,17,1
204,31,D,1887,4029,470,23948,1606,13,1
205,24,B,7017,17383,1272,24806,1738,17,6
206,64,D,2411,4308,520,15680,1832,13,1
207,40,B,5691,20431,1242,35980,1613,17,5
208,57,E,9115,45279,1845,39644,1239,18,8
209,39,A,5514,32485,1354,40932,1871,15,4
210,36,A,5435,35672,860,17840,1749,16,4
211,38,A,5090,25527,893,23296,1590,16,4
212,26,A,5211,40997,1107,26753,1991,15,4
213,47,C,3076,12803,855,30703,1228,15,2
214,55,E,7542,22108,1498,33285,1657,18,6
215,47,C,3830,4153,807,19718,1825,17,3
216,42,E,8023,80582,1477,41462,1099,18,7
217,37,C,3299,1755,860,17893,1633,15,2
218,45,E,6744,45626,1942,26169,1995,19,5
219,49,C,2972,10661,868,36502,1477,14,2
220,49,D,2450,4983,485,19379,1074,13,2
221,17,C,3272,7269,774,32592,1381,15,2
222,30,E,9542,48559,1709,39639,1735,17,8
223,49,C,3643,2389,808,35489,1929,15,2
224,47,E,8157,86729,2058,32036,1879,21,7
225,48,E,8853,65343,2083,25975,2170,18,7
226,41,B,8282,12910,1145,31996,1513,22,7
227,32,A,4686,28299,972,38204,1896,17,3
228,13,E,9126,76613,2247,32717,2159,19,7
229,47,C,3244,11119,1010,32719,1868,18,2
230,52,B,6889,16083,1148,34910,1805,18,6
231,39,C,3611,7916,1029,16539,1900,16,2
232,50,A,5166,13907,1448,22340,1795,17,4
233,52,C,3350,1574,805,22769,1764,13,2
234,36,A,4806,3871,981,27782,1729,15,4
235,46,E,6342,6019,2019,38635,1498,19,5
236,42,D,2135,3234,525,16039,1725,12,1
237,47,A,5981,33972,766,18125,1584,15,5
238,47,E,8199,22981,1942,20655,2100,18,7
239,47,B,6013,17963,1294,25154,2592,17,4
240,46,C,2830,845,1002,32099,2065,15,1
241,45,A,5638,9959,874,17864,1576,17,5
242,42,C,2969,7640,854,37561,1623,14,2
243,56,E,8846,3436,1776,21326,1999,22,7
244,18,D,1997,4457,476,40549,1951,13,1
245,50,D,943,2060,501,35953,1744,10,0
246,25,D,3500,9770,547,28008,1614,16,2
247,36,A,5202,34297,996,37977,1588,15,4
248,48,A,4980,32138,1050,19077,1176,16,4
249,48,A,5210,12756,681,23993,1600,15,4
250,49,C,3600,1909,717,28335,1375,17,3
251,41,C,3184,4994,841,21848,1660,16,2
252,49,C,3582,8996,918,42049,1565,14,3
253,30,B,6425,14282,1115,25183,1513,18,5
254,58,D,3122,5980,591,38863,1184,9,2
255,47,E,7223,48891,1865,19135,1786,17,6
256,28,A,6085,30856,1134,38532,2221,16,4
257,49,B,7933,23328,1356,41220,1422,17,7
258,40,D,1582,2402,491,19529,1481,12,1
259,31,C,2686,10459,673,35399,2035,15,1
260,43,D,3060,6246,565,28282,1565,16,2
261,50,C,3277,7157,758,18114,1627,16,2
262,28,C,3721,11944,705,41231,1852,13,2
263,43,C,3124,5541,804,25388,1649,15,2
264,39,E,7244,34429,1704,20578,1882,20,6
265,68,D,1884,3909,521,40074,1168,15,1
266,24,D,1973,4099,564,33740,1686,10,1
267,46,B,7580,30889,1138,36574,1696,18,6
268,29,A,4816,21954,1162,37102,2175,19,3
269,27,E,8420,48731,1798,28951,1398,16,8
270,31,C,3609,7519,780,17828,1726,14,2
271,30,E,8189,61467,1795,27195,1554,19,7
272,52,C,3340,9304,967,36492,1228,15,3
273,32,D,1976,2070,482,28257,1921,16,1
274,67,D,3169,7185,457,30632,1506,11,2
275,42,A,4194,16514,968,31951,1682,17,3
276,37,C,3361,5714,941,18921,1698,15,2
277,38,A,5385,22991,1309,20100,1595,16,4
278,29,E,8678,46554,1597,25387,1455,18,8
279,40,A,5198,34177,959,38979,1497,16,4
280,39,B,9521,32482,1377,26116,1537,15,8
281,30,B,8231,16629,1102,16049,1667,13,7
282,47,D,3428,4467,492,34213,1915,16,2
283,44,B,7251,19881,1248,30588,1516,17,6
284,27,C,3331,5739,760,36015,1193,14,3
285,12,B,7373,10279,1162,18169,1692,19,6
286,40,B,5347,11740,1139,16327,1754,15,4
287,38,E,7179,61381,2050,24258,1889,17,6
288,42,C,3279,11194,753,40943,1750,14,2
289,29,D,3191,6400,451,40370,1035,11,3
290,30,A,5516,19423,986,28301,991,14,5
291,61,E,8497,72518,1723,26119,1648,18,7
292,40,D,3378,6350,468,36951,2290,15,2
293,54,A,4958,35917,1252,37183,1615,16,4
294,50,E,7919,43332,1519,17944,1481,21,7
295,45,C,2863,5746,829,21251,2190,16,1
296,50,E,8423,50662,1670,20985,1693,20,7
297,28,C,3727,7529,772,34733,2052,14,2
298,46,B,7889,26614,1309,17840,2146,18,6
299,46,C,2986,2710,945,16329,1517,10,2
300,35,E,8084,38372,1866,18602,1508,20,7
301,37,D,2746,7618,462,15732,1694,12,2
302,50,A,4390,28818,1163,35616,1114,19,4
303,33,E,7690,34296,1369,35751,1809,19,6
304,50,E,8699,49680,2197,18943,2032,19,7
305,45,E,8298,62206,1509,35773,1903,16,7
306,46,B,6423,20130,1263,40049,2372,18,5
307,45,D,2764,2630,466,22390,1653,13,2
308,33,E,8417,18992,1338,23237,,,
309,31,D,3071,2974,448,39879,,,
310,25,C,4204,14175,837,23726,,,
311,48,D,1896,4414,498,20193,,,
312,29,D,2949,5935,577,21241,,,
313,36,D,2387,2854,418,41630,,,
314,28,C,3435,10323,930,32098,,,
315,46,D,2274,6688,594,20541,,,
316,23,E,8726,20628,1443,32935,,,
317,38,C,3474,3462,723,30732,,,
318,26,C,3431,16211,1111,29802,,,
319,33,D,3693,9318,442,31862,,,
320,49,A,5440,18246,1211,16373,,,
321,27,B,6927,19640,1164,19058,,,
322,37,A,4132,20730,1069,29607,,,
323,30,E,8296,73855,1776,18878,,,
324,46,D,1981,2616,510,19754,1897,11,1
325,43,E,7667,43346,1718,21350,1927,15,6
326,49,E,7626,31933,1767,31385,1582,17,7
327,46,C,2804,5133,850,34615,1442,15,2
328,35,D,850,1247,498,35989,1533,16,0
329,27,B,6443,19045,1079,22616,1565,16,5
330,41,C,4047,12751,815,31473,2030,12,3
331,23,C,3299,8066,820,41690,1808,12,2
332,33,E,8080,26367,1736,16196,1952,16,7
333,34,B,6655,23899,1206,29502,1960,17,5
334,53,D,1609,3333,612,31277,1821,10,0
335,52,B,7606,32572,1141,36022,1186,15,7
336,34,B,6761,29136,1244,23113,1990,19,5
337,49,B,7178,16842,1096,30893,2092,16,6
338,60,E,7792,121875,1664,30220,1180,19,7
339,42,C,3567,13754,945,29536,2174,11,2
340,40,B,8111,36326,1317,36704,2031,20,7
341,54,A,4912,31657,1044,19986,2355,16,3
342,48,D,1854,3900,475,17233,1360,7,1
343,39,E,6648,22812,2113,24720,1650,20,5
344,28,D,1975,3104,540,32062,1629,9,1
345,33,D,1156,1560,457,21599,1520,14,0
346,38,D,2497,5588,542,38104,1658,13,1
347,32,C,3876,11475,763,23740,1914,18,2
348,31,C,4348,316,736,30894,2067,11,3
349,31,C,3235,10336,775,16949,1593,15,2
350,39,D,3153,3736,565,41714,1311,15,2
351,32,A,4717,38514,1044,30588,1766,17,3
352,41,C,3980,8014,802,19310,1588,15,3
353,47,E,8205,87190,2210,30522,1620,18,7
354,41,A,4809,18512,1070,36606,1361,13,4
355,39,C,3397,12339,836,17261,1404,13,2
356,43,B,7785,17217,1198,41151,1200,19,7
357,32,D,2266,4539,403,30942,1796,11,1
358,34,E,7106,40195,1617,33401,1458,22,6
359,55,C,3399,93,865,30999,1444,18,2
360,45,B,6844,15165,1230,38726,1843,15,6
361,52,D,1894,3496,502,16133,1354,13,1
362,40,A,5677,36048,519,19005,2013,17,4
363,30,B,5141,10511,1162,31421,1596,18,4
364,46,E,8283,39207,2128,17682,1638,19,7
365,45,D,2561,3549,513,38830,1896,14,1
366,41,A,4718,25621,790,41363,1286,16,4
367,39,B,5664,16850,1070,35109,1406,14,5
368,21,C,3738,4955,769,37026,2105,18,2
369,43,C,3522,7974,849,26196,1552,16,2
370,52,D,2512,5467,543,29246,1791,15,1
371,26,C,3713,8529,726,16151,1899,16,2
372,50,E,8274,63581,1824,23799,1220,18,8
373,50,B,5109,13315,1244,29676,2137,18,3
374,54,E,8403,54926,1246,41943,1664,21,7
375,38,A,5054,32095,1020,37443,2169,17,3
376,40,E,7857,26587,1312,16770,2162,19,6
377,40,B,5533,12065,1398,19452,1477,16,5
378,22,E,9010,103386,1472,23193,2062,23,7
379,53,D,3416,4370,552,31292,1208,12,3
380,34,C,3365,9492,574,25126,1809,19,2
381,36,B,7699,13116,1186,38185,1765,14,6
382,43,B,6586,14829,1245,19553,1845,17,5
383,33,B,7837,33092,1158,36007,1241,17,7
384,21,C,3298,6420,800,37628,1388,16,2
385,52,E,6108,40885,1333,26613,1610,21,5
386,65,D,2232,3953,542,22244,1249,11,1
387,35,B,6047,15998,1102,37589,1662,15,5
388,33,C,3654,8884,960,36910,1605,14,3
389,54,D,2727,5601,429,27195,2126,10,1
390,28,B,6487,26418,1065,39394,1972,20,5
391,61,E,8772,58185,1666,37051,984,17,8
392,22,A,4873,32612,957,34423,1941,17,3
393,38,B,7780,42641,1218,36527,1443,16,7
394,52,B,6534,33924,1136,31866,1708,18,5
395,54,A,4077,25990,805,28857,1979,17,3
396,59,A,5061,24648,780,18492,1863,16,4
397,24,C,3314,10434,984,39089,1608,13,2
398,34,C,3144,3310,762,16596,1636,15,2
399,49,D,2591,4814,460,19643,2099,12,1
400,45,D,1439,1753,499,22794,1931,10,0
401,61,A,4690,22499,1127,23842,1855,18,3
402,22,B,6679,25748,1267,27529,2018,16,5
403,14,A,4922,25939,1212,36869,1778,16,4
404,61,B,6292,7812,1165,26373,2211,19,5
405,57,B,7407,34501,1239,29564,1834,17,6
406,31,A,3694,10909,1127,17551,2002,20,2
407,51,C,2921,10592,831,31397,1917,17,2
408,51,D,1629,3832,402,41190,1551,11,1
409,43,E,7929,39188,1695,35273,1707,20,7
410,60,A,5076,36758,1072,27270,1835,20,4
411,51,C,3029,8844,846,34393,1990,15,2
412,37,A,5561,39577,1013,20211,1412,18,5
413,25,E,7234,31593,1524,37652,2032,18,6
414,28,E,7880,27833,1831,33844,1046,19,7
415,38,B,7214,28353,1238,16293,1547,15,6
416,46,B,6549,23355,1074,38909,1879,18,5
417,46,E,8190,95820,1915,33060,2586,21,6
418,34,B,7288,25888,1233,26685,2074,15,6
419,58,A,6002,35068,1157,28274,1753,21,5
420,28,B,6198,22377,1183,41020,1868,18,5
421,46,E,8096,66240,1883,33263,1868,20,7
422,38,B,6185,26373,1174,40908,1485,19,5
423,51,D,2610,3207,507,17794,1325,13,2
424,26,C,3210,5939,1087,32421,1507,13,2
425,44,D,3221,7586,527,22996,1267,16,2
426,35,C,3360,1048,568,23917,1624,16,2
427,51,A,5109,35902,1200,21481,2025,18,4
428,36,E,7721,61028,1367,17295,1462,19,7
429,47,A,3867,23205,1416,30094,1608,15,3
430,49,E,7447,37463,1587,29908,1326,17,7
431,34,B,7388,19193,1236,31049,1500,15,6
432,48,A,5824,30089,651,21175,1900,15,4
433,40,D,1951,2265,574,17266,1213,15,1
434,36,C,3604,10701,621,36084,1106,14,3
435,23,B,7138,15903,1339,21562,1814,20,6
436,42,B,5356,7648,1246,35810,1542,14,4
437,41,B,6710,19740,1284,18308,1491,18,6
438,18,B,7100,20908,1221,36986,1807,16,6
439,35,C,3522,3973,939,38405,1425,14,3
440,29,C,3486,5787,819,20814,2089,14,2
441,64,E,8565,39243,1861,18081,1998,16,7
442,37,D,2960,7947,479,18323,1934,9,2
443,41,C,3723,14525,832,24906,1173,16,3
444,31,C,3071,3989,987,20178,1840,16,2
445,57,D,1714,2797,435,17086,1886,14,0
446,42,B,5273,21347,1107,36252,2416,19,3
447,40,D,3341,7318,456,34976,1695,5,2
448,46,E,7989,30781,1509,25429,1461,19,7
449,51,C,3399,8406,887,24228,1994,15,2
450,42,A,5217,36717,1347,30037,1358,17,4
451,41,B,5010,6740,1173,20092,1370,16,4
452,40,E,6725,48001,1597,37186,1809,17,5
453,37,E,7363,39465,1247,38125,1754,19,6
454,40,B,6472,17614,1180,28855,1514,15,5
455,31,A,5218,20106,1106,30607,1602,18,4
456,29,A,4547,39599,1313,22908,1870,17,3
457,34,E,8541,43704,1211,27894,1347,21,8
458,65,A,5481,27260,836,16873,1856,16,4
459,58,A,5177,25509,760,29468,1881,18,4
460,52,C,4087,4026,850,17696,1689,16,3
461,25,A,5415,27746,812,21679,1948,15,4
462,38,B,6972,21542,1218,22509,1111,20,6
463,45,A,5442,25287,999,40949,1388,13,5
464,45,C,3714,7499,794,15894,1778,13,2
465,24,D,2702,3753,413,27666,1166,13,2
466,39,B,7127,23221,1477,33049,2092,15,6
467,43,A,4471,29495,1348,32907,1244,18,4
468,26,B,8939,24075,1366,37770,972,19,8
469,40,C,3066,5972,846,22732,1663,11,2
470,43,E,7467,89907,2160,33700,1123,22,7
471,40,A,4997,25033,695,39377,1344,18,4
472,39,C,3993,7805,807,28088,1675,13,3
473,46,D,1997,3109,510,40580,1947,11,1
474,34,B,3993,18974,1192,27615,1535,19,3
475,45,E,7358,41398,1435,33681,2099,18,6
476,39,D,3231,4186,528,22789,1527,13,2
477,31,E,7696,15478,1705,30933,1824,18,6
478,38,D,2245,3764,514,17898,1581,13,1
479,27,C,3081,7354,610,40032,1445,17,2
480,45,C,3428,16132,858,22299,1501,11,2
481,36,E,8668,53971,1317,27536,2038,19,7
482,50,E,8359,72218,2231,33759,1449,19,7
483,35,C,3837,7755,822,34624,1828,16,3
484,62,C,4310,4621,848,25156,1909,12,3
485,31,E,6689,17074,1687,34723,2024,18,5
486,14,E,6874,39097,1977,40942,1313,19,6
487,34,D,2263,5160,517,32531,1106,11,2
488,45,D,3018,6984,454,32369,1653,13,2
489,40,B,7322,34389,1265,41886,1066,15,7
490,20,A,4962,37257,623,29829,2118,17,3
491,39,E,8704,36874,2044,16900,2102,15,7
492,27,C,2799,2894,872,29151,1726,15,2
493,50,B,8377,23117,1277,40444,1822,18,7
494,38,E,7742,44134,1250,15620,2089,19,6
495,30,B,7661,17826,1154,34273,1841,18,6
496,28,C,3793,11519,695,34610,1884,15,2
497,49,D,3127,3697,454,26904,1727,8,2
498,37,B,6119,12623,1237,17876,1840,14,5
499,24,E,7451,34307,2462,23068,1871,21,6
500,44,C,4217,12509,759,32134,1978,19,3
501,49,A,3778,26820,1192,36021,1283,15,3
502,42,D,1856,2488,536,32794,1390,14,1
503,52,B,6626,20980,1086,29444,2768,20,4
504,37,C,3450,7472,643,35251,2219,14,2
505,45,C,3331,8469,839,34548,2270,13,2
506,60,D,2651,5646,488,30524,1855,15,1
507,26,E,9257,27692,1700,16397,1802,16,8
508,32,A,4361,16440,1133,29136,2102,19,3
509,44,A,5208,24336,1112,20097,1713,15,4
510,29,B,6542,25464,1269,28570,1663,19,5
511,42,E,7369,27226,2263,39616,1543,19,6
512,29,D,2798,6908,542,21784,1751,12,2
513,53,B,5667,18211,1148,35542,1966,17,4
514,39,E,8014,81070,2322,27770,1745,20,7
515,36,B,6735,21956,1226,26802,1382,16,6
516,49,B,8618,28937,1223,41288,1371,16,8
517,56,A,4239,26551,1059,20912,1621,14,3
518,52,E,7806,40354,2121,26302,1856,15,6
519,37,E,9392,38528,1231,18911,1683,22,8
520,47,D,2119,4807,496,28319,1646,17,1
521,37,C,3388,7782,1016,39750,1855,14,2
522,36,C,4041,5261,859,34927,1230,15,3
523,30,D,3352,7336,528,32531,1778,11,2
524,24,E,7143,70058,728,38504,1685,14,6
525,53,C,2750,7511,840,34036,2077,16,1
526,31,E,8632,26739,1903,36355,1537,20,8
527,43,C,3541,6078,993,23963,1747,10,2
528,41,B,8045,32281,1253,29099,2135,22,6
529,62,C,3650,10583,735,24526,1474,14,3
530,28,C,3245,3862,812,17580,1661,14,2
531,57,D,2068,4195,479,40892,1281,14,1
532,51,A,5541,30464,912,38113,2189,17,4
533,36,E,8284,75132,1757,34415,1376,16,7
534,29,C,2672,9220,845,33301,1640,16,2
535,34,A,5037,31757,1131,27368,1755,16,4
536,24,D,1814,1672,536,29409,1171,14,1
537,56,C,4126,13570,811,41088,1918,14,3
538,35,D,2726,5367,439,27605,2105,13,1
539,38,D,1747,2180,498,16233,2241,12,0
540,44,E,7233,38687,1990,36216,1526,20,6
541,69,E,10384,64787,1088,38940,1946,18,9
542,35,A,5037,14696,1161,37361,1378,16,4
543,59,E,8655,12277,1987,21192,1513,18,8
544,37,D,970,1847,508,18688,1586,11,0
545,38,A,4946,37668,1109,22852,1596,17,4
546,54,D,2071,4283,489,30029,1667,15,1
547,54,D,1830,3361,426,40974,1982,12,0
548,36,C,3448,5353,743,29122,1434,15,3
549,51,B,9486,25352,1118,28791,1645,15,8
550,34,B,7343,21391,1244,37547,1985,18,6
551,24,D,1919,1471,505,34791,1552,9,1
552,53,E,7918,38093,1917,29427,2036,15,6
553,47,A,5401,39945,991,33063,1421,14,4
554,33,D,2719,5247,459,27746,1750,12,1
555,35,E,8683,26876,1465,16805,1872,17,7
556,25,E,7402,58956,2109,33397,1369,18,7
557,43,E,7456,46750,1202,28166,1775,19,6
558,30,E,9095,78504,1675,33188,1500,17,8
559,34,D,2571,6664,430,25242,1525,10,2
560,56,C,4003,7161,820,16449,1946,15,3
561,37,A,5847,23926,1098,22498,2100,13,4
562,34,E,8599,98734,1295,37847,1694,19,7
563,41,A,5107,7207,1265,23714,1895,18,4
564,46,E,7991,41868,2040,40875,1726,19,7
565,47,A,4588,33372,829,40605,1916,14,3
566,36,A,4805,7053,880,31940,1773,16,4
567,36,D,2490,5962,518,25690,1538,14,1
568,49,E,7438,76217,1622,23469,1447,18,6
569,52,B,5403,16735,1245,39770,2147,17,4
570,51,A,4708,7340,599,32171,1377,16,4
